Unnamed: 0.1,Unnamed: 0,relation,song,song_url,episodes,rating,vocals,lyrics,composition,arrangement,chorus,tags,anime,MAL_ID,MAL_Title,MAL_Title_JP,MAL_Title_EN,MAL_Score,MAL_Rank,MAL_Popularity,MAL_Status,MAL_Genres,MAL_Num_Episodes,MAL_Start_Date,MAL_End_Date,MAL_Studios,MAL_Source,MAL_Broadcast,MAL_Rating,MAL_Duration,MAL_Themes,AniDB_Link,AniDB_ID,full_youtube_uri,youtube_views,youtube_likes,youtube_video_id
20,20,image song,Karakaze,/song/32483,,,Mizuki Nana,Tama,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=CZPul4k9bUU&pp=ygUoRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBLYXJha2F6ZQ%3D%3D,"5,011,413",68K,CZPul4k9bUU
21,21,image song,Kaze ni Idakarete,/song/22580,,,Kugimiya Rie,Tama,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=QyHPYNmzgLY&pp=ygUxRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBLYXplIG5pIElkYWthcmV0ZdIHCQmECQGHKiGM7w%3D%3D,575,11,QyHPYNmzgLY
22,22,image song,Kurenai Gatsu,/song/32481,,,"Kugimiya Rie, Paku Romi",Tama,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=l2kwie-gs2o&pp=ygUtRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBLdXJlbmFpIEdhdHN1,"11,197,708",104K,l2kwie-gs2o
23,23,image song,Number Ou,/song/32482,,,Miyano Mamoru,Kusunose Takuya,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=l0X9wDSGtos&pp=ygUpRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBOdW1iZXIgT3U%3D,"115,587",743,l0X9wDSGtos
24,24,image song,Restore Steppin,/song/22581,,,"Kugimiya Rie, Paku Romi",Kusunose Takuya,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=SnW1-NMSwBg&pp=ygUvRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBSZXN0b3JlIFN0ZXBwaW4%3D,"1,459",30,SnW1-NMSwBg
25,25,image song,Sora o Aogeba,/song/32488,,,Takamoto Megumi,Tama,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=I5NsWMFGAdg&pp=ygUtRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBTb3JhIG8gQW9nZWJh,"330,760",4.8K,I5NsWMFGAdg
26,26,image song,Sotto Sotto,/song/32487,,,Mizuki Nana,Kusunose Takuya,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=QqKgbq3zP5c&pp=ygUrRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBTb3R0byBTb3R0bw%3D%3D,823,11,QqKgbq3zP5c
27,27,image song,Yume no Genseki,/song/32480,,,Paku Romi,Tama,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=DnjS7ysp8CE&pp=ygUvRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBZdW1lIG5vIEdlbnNla2k%3D,"2,180",87,DnjS7ysp8CE
28,28,opening,Hacking to the Gate,/song/41541,1 24 OP1a OP1b S2,8.94,Itou Kanako,Shikura Chiyomaru,Shikura Chiyomaru,Isoe Toshimichi,Ena,"comedy, game, science fiction, seinen, thriller, time travel, visual novel",Steins Gate,9253,Steins;Gate,Steins Gate,,9.07,3,14,finished_airing,"Drama, Psychological, Sci-Fi, Suspense, Time Travel",24,2011-04-06,2011-09-14,White Fox,visual_novel,,pg_13,,,https://anidb.net/anime/7729,7729,https://www.youtube.com/watch?v=ZGM90Bo3zH0&pp=ygUfU3RlaW5zIEdhdGUgSGFja2luZyB0byB0aGUgR2F0ZQ%3D%3D,"16,250,208",117K,ZGM90Bo3zH0
29,29,ending,Toki Tsukasadoru Juuni no Meiyaku,/song/41542,1 21 ED1a ED1b S2,7.8,"Phantasm, Sakakibara Yui",Shikura Chiyomaru,Hayashi Tatsushi,Hayashi Tatsushi,,"comedy, game, science fiction, seinen, thriller, time travel, visual novel",Steins Gate,9253,Steins;Gate,Steins Gate,,9.07,3,14,finished_airing,"Drama, Psychological, Sci-Fi, Suspense, Time Travel",24,2011-04-06,2011-09-14,White Fox,visual_novel,,pg_13,,,https://anidb.net/anime/7729,7729,https://www.youtube.com/watch?v=EyRD3eG8y9s&pp=ygUtU3RlaW5zIEdhdGUgVG9raSBUc3VrYXNhZG9ydSBKdXVuaSBubyBNZWl5YWt1,"2,050,976",20K,EyRD3eG8y9s
